Month,Month_Name,Total_Employee_Days,Avg_Daily_Employees,Peak_Daily_Employees,Total_Task_Hours
1,Jan,482,3.8,8,3047.336666666667
2,Feb,387,3.8,8,2354.0983333333334
3,Mar,418,3.7,7,2624.3166666666666
4,Apr,434,3.8,6,2658.8166666666666
5,May,429,3.8,6,2607.7516666666666
6,Jun,469,3.9,7,2836.3233333333333
7,Jul,522,4.0,7,3132.463333333333
8,Aug,491,4.1,8,3020.726666666667
9,Sep,494,3.9,8,3005.26
10,Oct,518,4.1,9,3209.2683333333334
11,Nov,453,4.0,8,2783.9533333333334
12,Dec,479,3.8,8,2995.2383333333332
